"Rank","Player","Team","Position","Points","Games","Avg"
"1","Josh Jacobs","LV","RB","31.9","1","31.9"
"2","Russell Wilson","SEA","QB","31.8","1","31.8"
"3","Aaron Rodgers","GB","QB","30.8","1","30.8"
"4","Josh Allen","BUF","QB","28.2","1","28.2"
"5","Davante Adams","GB","WR","27.6","1","27.6"
"6","Lamar Jackson","BAL","QB","27.5","1","27.5"
"7","Kyler Murray","ARI","QB","27.3","1","27.3"
"8","Cam Newton","NE","QB","25.7","1","25.7"
"9","Christian McCaffrey","CAR","RB","25.4","1","25.4"
"10","Adam Thielen","MIN","WR","25.0","1","25.0"
"11","Matt Ryan","ATL","QB","24.9","1","24.9"
"11","Calvin Ridley","ATL","WR","24.9","1","24.9"
"13","Ezekiel Elliott","DAL","RB","24.7","1","24.7"
"14","Mitchell Trubisky","CHI","QB","24.3","1","24.3"
"15","Malcolm Brown","LAR","RB","23.0","1","23.0"
"16","Kirk Cousins","MIN","QB","22.8","1","22.8"
"17","Tom Brady","TB","QB","22.5","1","22.5"
"18","Darius Slayton","NYG","WR","22.2","1","22.2"
"19","Ben Roethlisberger","PIT","QB","22.1","1","22.1"
"20","Deshaun Watson","HOU","QB","21.8","1","21.8"
"21","Raheem Mostert","SF","RB","21.1","1","21.1"
"22","Dalvin Cook","MIN","RB","20.8","1","20.8"
"22","Gardner Minshew II","JAC","QB","20.8","1","20.8"
"24","Patrick Mahomes II","KC","QB","20.4","1","20.4"
"25","Clyde Edwards-Helaire","KC","RB","19.8","1","19.8"
"26","Robby Anderson","CAR","WR","19.5","1","19.5"
"27","Teddy Bridgewater","CAR","QB","19.4","1","19.4"
"27","Daniel Jones","NYG","QB","19.4","1","19.4"
"27","Ryan Tannehill","TEN","QB","19.4","1","19.4"
"30","Jimmy Garoppolo","SF","QB","19.3","1","19.3"
"30","Nyheim Hines","IND","RB","19.3","1","19.3"
"32","JuJu Smith-Schuster","PIT","WR","18.9","1","18.9"
"33","Alvin Kamara","NO","RB","18.7","1","18.7"
"34","Chris Carson","SEA","RB","18.6","1","18.6"
"35","Mark Andrews","BAL","TE","17.8","1","17.8"
"36","Dak Prescott","DAL","QB","17.6","1","17.6"
"37","Jamison Crowder","NYJ","WR","17.5","1","17.5"
"38","Joe Burrow","CIN","QB","17.3","1","17.3"
"39","Matthew Stafford","DET","QB","17.2","1","17.2"
"40","David Johnson","HOU","RB","16.9","1","16.9"
"41","Philip Rivers","IND","QB","16.8","1","16.8"
"42","Dallas Goedert","PHI","TE","16.1","1","16.1"
"43","Julio Jones","ATL","WR","15.7","1","15.7"
"44","Marquez Valdes-Scantling","GB","WR","15.6","1","15.6"
"45","D.K. Metcalf","SEA","WR","15.5","1","15.5"
"46","DeAndre Hopkins","ARI","WR","15.1","1","15.1"
"47","Baltimore Ravens","BAL","DST","15.0","1","15.0"
"47","New Orleans Saints","NO","DST","15.0","1","15.0"
"47","Carson Wentz","PHI","QB","15.0","1","15.0"
"47","Washington Football Team","WAS","DST","15.0","1","15.0"
"51","Peyton Barber","WAS","RB","14.9","1","14.9"
"52","Sammy Watkins","KC","WR","14.5","1","14.5"
"53","Drew Brees","NO","QB","14.4","1","14.4"
"54","Allen Lazard","GB","WR","14.2","1","14.2"
"54","J.K. Dobbins","BAL","RB","14.2","1","14.2"
"56","Noah Fant","DEN","TE","14.1","1","14.1"
"57","Anthony Miller","CHI","WR","13.6","1","13.6"
"57","Aaron Jones","GB","RB","13.6","1","13.6"
"57","Derek Carr","LV","QB","13.6","1","13.6"
"60","Derrick Henry","TEN","RB","13.1","1","13.1"
"60","Drew Lock","DEN","QB","13.1","1","13.1"
"62","John Brown","BUF","WR","13.0","1","13.0"
"63","Dwayne Haskins","WAS","QB","12.8","1","12.8"
"64","Melvin Gordon III","DEN","RB","12.6","1","12.6"
"65","Kenyan Drake","ARI","RB","12.5","1","12.5"
"66","Willie Snead IV","BAL","WR","12.4","1","12.4"
"67","Sam Darnold","NYJ","QB","12.2","1","12.2"
"68","Daniel Carlson","LV","K","12.0","1","12.0"
"68","Joshua Kelley","LAC","RB","12.0","1","12.0"
"68","Joey Slye","CAR","K","12.0","1","12.0"
"68","Josh Lambo","JAC","K","12.0","1","12.0"
"68","Mason Crosby","GB","K","12.0","1","12.0"
"68","Matt Prater","DET","K","12.0","1","12.0"
"74","Robert Woods","LAR","WR","11.9","1","11.9"
"75","Todd Gurley II","ATL","RB","11.7","1","11.7"
"76","T.J. Hockenson","DET","TE","11.6","1","11.6"
"77","Jared Goff","LAR","QB","11.5","1","11.5"
"78","Russell Gage","ATL","WR","11.4","1","11.4"
"78","Adrian Peterson","DET","RB","11.4","1","11.4"
"80","Benny Snell Jr.","PIT","RB","11.3","1","11.3"
"81","Will Fuller V","HOU","WR","11.2","1","11.2"
"82","David Njoku","CLE","TE","11.0","1","11.0"
"82","Travis Kelce","KC","TE","11.0","1","11.0"
"82","Michael Badgley","LAC","K","11.0","1","11.0"
"82","New England Patriots","NE","DST","11.0","1","11.0"
"82","Los Angeles Chargers","LAC","DST","11.0","1","11.0"
"87","Baker Mayfield","CLE","QB","10.9","1","10.9"
"88","Laviska Shenault Jr.","JAC","WR","10.7","1","10.7"
"88","Keelan Cole","JAC","WR","10.7","1","10.7"
"90","Tyreek Hill","KC","WR","10.6","1","10.6"
"91","Chase Edmonds","ARI","RB","10.5","1","10.5"
"92","Jerick McKinnon","SF","RB","10.4","1","10.4"
"93","Marquise Brown","BAL","WR","10.1","1","10.1"
"93","Corey Davis","TEN","WR","10.1","1","10.1"
"95","Harrison Butker","KC","K","10.0","1","10.0"
"95","Wil Lutz","NO","K","10.0","1","10.0"
"95","Robbie Gould","SF","K","10.0","1","10.0"
"95","Dustin Hopkins","WAS","K","10.0","1","10.0"
"95","Randy Bullock","CIN","K","10.0","1","10.0"
"100","Jordan Akins","HOU","TE","9.9","1","9.9"
"101","Sony Michel","NE","RB","9.7","1","9.7"
"101","Logan Thomas","WAS","TE","9.7","1","9.7"
"103","Jonnu Smith","TEN","TE","9.6","1","9.6"
"103","O.J. Howard","TB","TE","9.6","1","9.6"
"105","James Washington","PIT","WR","9.4","1","9.4"
"106","Tyler Lockett","SEA","WR","9.2","1","9.2"
"107","James Robinson","JAC","RB","9.0","1","9.0"
"107","Tyrod Taylor","LAC","QB","9.0","1","9.0"
"107","Justin Tucker","BAL","K","9.0","1","9.0"
